# manga_tileid n_ancillaries ancillary_weight
6335 1 0.655737704918033
6336 1 3.81818181818182
6337 1 1.13636363636364
6338 2 1.06279921148972
6339 4 1.31027395896447
6340 2 1.05450733752621
6341 0 1
6342 0 1
6343 1 0.655737704918033
6344 0 1
6345 0 1
6346 0 1
6347 1 1.66666666666667
6348 1 4.42857142857143
6349 0 1
6350 1 1.66666666666667
6351 1 0.655737704918033
6352 0 1
6353 0 1
6354 0 1
6355 0 1
6356 2 1.37002341920375
6357 2 2.09782608695652
6358 2 1.25576662143826
6359 0 1
6360 1 1.11940298507463
6361 0 1
6362 0 1
6363 0 1
6364 2 2.27956989247312
6365 2 1.50356379187455
6366 0 1
6367 3 1.72946587815639
6368 2 0.77514068999266
6369 0 1
6370 0 1
6371 3 0.830188679245283
6372 0 1
6373 3 2.09530083443127
6374 0 1
6375 2 1.50356379187455
6376 3 5.76190476190476
6377 0 1
6378 0 1
6379 0 1
6380 1 0.655737704918033
6381 0 1
6382 0 1
6383 0 1
6384 0 1
6385 2 0.766848816029144
6386 1 4.42857142857143
6387 1 1.61290322580645
6388 1 1.2
6389 0 1
6390 0 1
6391 1 1.66666666666667
6392 0 1
6393 0 1
6394 1 1.25
6395 1 1.84782608695652
6396 1 1.66666666666667
6397 2 1.23051409618574
6398 1 1.11111111111111
6399 0 1
6400 2 0.792101341281669
6401 2 1.19339622641509
6402 0 1
6403 1 1.13636363636364
6404 0 1
6405 2 2.51449275362319
6406 0 1
6407 3 3.20634920634921
6408 0 1
6409 0 1
6410 0 1
6411 3 4.93213522044598
6412 2 4.56493506493507
6413 1 1.11111111111111
6414 1 0.943396226415094
6415 1 1.66666666666667
6416 0 1
6417 1 1.13636363636364
6418 0 1
6419 1 0.655737704918033
6420 1 1.66666666666667
6421 2 1.24747474747475
6422 2 1.50356379187455
6423 0 1
6424 1 1.11940298507463
6425 0 1
6426 1 0.943396226415094
6427 3 2.68151478631686
6428 1 0.655737704918033
6429 0 1
6430 0 1
6431 3 1.27514068999266
6432 2 0.77514068999266
6433 1 1.11111111111111
6434 0 1
6435 0 1
6436 0 1
6437 1 1.61290322580645
6438 3 1.13679245283019
6439 0 1
6440 1 0.943396226415094
6441 3 1.19916284785336
6442 0 1
6443 1 1.11940298507463
6444 0 1
6445 1 0.655737704918033
6446 1 1.66666666666667
6447 0 1
6448 1 1.66666666666667
6449 1 1.11940298507463
6450 2 1.06279921148972
6451 0 1
6452 2 1.50356379187455
6453 0 1
6454 0 1
6455 2 1.31940298507463
6456 1 1.25
6457 1 1.25
6458 1 1.11940298507463
6459 4 0.198267862666254
6460 0 1
6461 0 1
6462 1 0.943396226415094
6463 1 1.11940298507463
6464 1 0.655737704918033
6465 2 0.599133931333127
6466 0 1
6467 0 1
6468 0 1
6469 3 0.966848816029144
6470 0 1
6471 2 0.855737704918033
6472 0 1
6473 0 1
6474 0 1
6475 1 1.84782608695652
6476 0 1
6477 3 2.20371211856409
6478 0 1
6479 2 0.766848816029144
6480 1 0.943396226415094
6481 1 1.13636363636364
6482 0 1
6483 1 1.61290322580645
6484 2 0.311475409836065
6485 1 1.66666666666667
6486 0 1
6487 1 1.84782608695652
6488 0 1
6489 2 1.23880597014925
6490 3 1.15930149679259
6491 0 1
6492 3 2.58333333333333
6493 0 1
6494 0 1
6495 0 1
6496 0 1
6497 0 1
6498 2 1.23051409618574
6499 0 1
6500 3 1.05573770491803
6501 0 1
6502 1 1.13636363636364
6503 0 1
6504 0 1
6505 2 1.95893719806763
6506 0 1
6507 1 1.13636363636364
6508 1 1.13636363636364
6509 0 1
6510 1 0.943396226415094
6511 0 1
6512 1 1.61290322580645
6513 1 1.11940298507463
6514 0 1
6515 2 4.37196765498652
6516 0 1
6517 0 1
6518 1 1.84782608695652
6519 0 1
6520 0 1
6521 0 1
6522 3 7.38311688311688
6523 0 1
6524 1 0.655737704918033
6525 1 0.943396226415094
6526 1 1.11940298507463
6527 0 1
6528 0 1
6529 3 4.20371211856409
6530 2 1.65768194070081
6531 1 3.81818181818182
6532 1 1.25
6533 3 5.41276115189159
6534 0 1
6535 0 1
6536 0 1
6537 0 1
6538 1 1.66666666666667
6539 2 1.45
6540 0 1
6541 0 1
6542 0 1
6543 0 1
6544 0 1
6545 0 1
6546 0 1
6547 0 1
6548 0 1
6549 0 1
6550 0 1
6551 1 4.42857142857143
6552 2 1.06279921148972
6553 3 0.718536916407754
6554 0 1
6555 0 1
6556 2 1.23880597014925
6557 0 1
6558 0 1
6559 2 1.96722907203115
6560 1 1.11940298507463
6561 1 1.25
6562 1 1.11940298507463
6563 2 0.77514068999266
6564 0 1
6565 1 1.13636363636364
6566 0 1
6567 2 0.792101341281669
6568 0 1
6569 0 1
6570 2 1.96722907203115
6571 1 0.655737704918033
6572 1 0.655737704918033
6573 2 3.93758480325645
6574 4 2.52352852425269
6575 0 1
6576 1 1.11111111111111
6577 1 1.13636363636364
6578 2 2.46072931276297
6579 0 1
6580 1 1.11940298507463
6581 1 1.11940298507463
6582 0 1
6583 0 1
6584 1 1.66666666666667
6585 0 1
6586 0 1
6587 0 1
6588 0 1
6589 0 1
6590 1 1.11940298507463
6591 0 1
6592 1 0.943396226415094
6593 0 1
6594 1 1.11111111111111
6595 0 1
6596 0 1
6597 0 1
6598 1 1.61290322580645
6599 1 1.25
6600 3 1.85170919595571
6601 2 1.23880597014925
6602 0 1
6603 0 1
6604 2 1.61006289308176
6605 1 1.13636363636364
6606 1 1.11111111111111
6607 2 1.36940298507463
6608 2 1.55629945222155
6609 0 1
6610 2 0.855737704918033
6611 1 1.11111111111111
6612 2 1.23051409618574
6613 2 1.91666666666667
6614 0 1
6615 2 1.36940298507463
6616 1 1.13636363636364
6617 2 1.77777777777778
6618 1 1.66666666666667
6619 1 0.655737704918033
6620 1 1.11940298507463
6621 0 1
6622 0 1
6623 0 1
6624 0 1
6625 0 1
6626 1 1.25
6627 1 1.11111111111111
6628 0 1
6629 1 1.84782608695652
6630 0 1
6631 1 0.943396226415094
6632 2 1.23880597014925
6633 1 0.655737704918033
6634 2 2.51449275362319
6635 2 1.25576662143826
6636 0 1
6637 0 1
6638 1 1.66666666666667
6639 1 0.655737704918033
6640 1 1.84782608695652
6641 1 1.71428571428571
6642 0 1
6643 1 1.66666666666667
6644 1 0.655737704918033
6645 2 0.77514068999266
6646 4 3.97748331497441
6647 3 1.44180735665933
6648 0 1
6649 0 1
6650 0 1
6651 0 1
6652 3 2.22401433691756
6653 0 1
6654 2 1.06279921148972
6655 0 1
6656 1 1.84782608695652
6657 0 1
6658 0 1
6659 1 1.66666666666667
6660 2 1.05450733752621
6661 1 0.655737704918033
6662 1 2.42857142857143
6663 1 1.11940298507463
6664 1 1.71428571428571
6665 2 2.56211180124224
6666 0 1
6667 0 1
6668 2 0.886792452830189
6669 2 0.311475409836065
6670 0 1
6671 1 1.66666666666667
6672 3 0.799133931333127
6673 0 1
6674 2 1.95893719806763
6675 1 0.655737704918033
6676 0 1
6677 3 0.924378635642517
6678 2 0.599133931333127
6679 1 1.11940298507463
6680 0 1
6681 0 1
6682 2 0.855737704918033
6683 2 4.01818181818182
6684 2 3.09523809523809
6685 1 1.61290322580645
6686 0 1
6687 1 1.61290322580645
6688 2 0.792101341281669
6689 1 1.11111111111111
6690 0 1
6691 2 1.25576662143826
6692 0 1
6693 2 1.96722907203115
6694 1 1.13636363636364
6695 2 1.23880597014925
6696 1 1.84782608695652
6697 0 1
6698 0 1
6699 1 0.943396226415094
6700 3 1.00619543790482
6701 1 1.84782608695652
